sentence_type,timestamp,lat-dd,lat-dir,lon-dd,lon-dir,satellites_in_view,satellites_in_use,knots,mph,kph,course,altitude,fix_stat,fix_type,fix_time
GPRMC,20210803T191301.500,[42.17731, 'N'],[83.78334, 'W'],0,6,[0.21, 0.24171, 0.38892],332.3,234.4,1,1,122332
GPGGA,20210803T191302.000,[42.17731, 'N'],[83.78334, 'W'],0,6,[0.21, 0.24171, 0.38892],332.3,234.4,1,1,122721
GPRMC,20210803T191302.000,[42.17731, 'N'],[83.78334, 'W'],0,6,[0.2, 0.2302, 0.3704],317.87,234.4,1,1,122845
GPGGA,20210803T191302.500,[42.17731, 'N'],[83.78334, 'W'],0,6,[0.2, 0.2302, 0.3704],317.87,234.4,1,1,123218
GPRMC,20210803T191302.500,[42.17731, 'N'],[83.78334, 'W'],0,6,[0.17, 0.19567, 0.31484],321.84,234.4,1,1,123342
GPGGA,20210803T191303.000,[42.17731, 'N'],[83.78334, 'W'],0,6,[0.17, 0.19567, 0.31484],321.84,234.4,1,1,123721
GPRMC,20210803T191303.000,[42.17731, 'N'],[83.78334, 'W'],0,6,[0.2, 0.2302, 0.3704],334.6,234.4,1,1,123845
GPGGA,20210803T191303.500,[42.17731, 'N'],[83.78334, 'W'],0,6,[0.2, 0.2302, 0.3704],334.6,234.4,1,1,124218
GPRMC,20210803T191303.500,[42.17731, 'N'],[83.78334, 'W'],0,6,[0.24, 0.27624, 0.44448],341.36,234.4,1,1,124341
GPGGA,20210803T191304.000,[42.17731, 'N'],[83.78334, 'W'],0,6,[0.24, 0.27624, 0.44448],341.36,234.4,1,1,124722
GPRMC,20210803T191304.000,[42.17731, 'N'],[83.78334, 'W'],0,6,[0.23, 0.26473, 0.42596],341.88,234.4,1,1,124845
GPGGA,20210803T191304.500,[42.17731, 'N'],[83.78334, 'W'],0,6,[0.23, 0.26473, 0.42596],341.88,234.4,1,1,125218
GPRMC,20210803T191304.500,[42.17731, 'N'],[83.78334, 'W'],0,6,[0.28, 0.32228, 0.51856],356.72,234.4,1,1,125341
GPGGA,20210803T191305.000,[42.17731, 'N'],[83.78334, 'W'],0,6,[0.28, 0.32228, 0.51856],356.72,234.4,1,1,125720
GPRMC,20210803T191305.000,[42.17731, 'N'],[83.78334, 'W'],0,6,[0.27, 0.31077, 0.50004],355.74,234.4,1,1,125844
GPGGA,20210803T191305.500,[42.17731, 'N'],[83.78334, 'W'],0,6,[0.27, 0.31077, 0.50004],355.74,234.4,1,1,126216
GPRMC,20210803T191305.500,[42.17731, 'N'],[83.78334, 'W'],0,6,[0.25, 0.28775, 0.463],2.07,234.4,1,1,126338
GPGGA,20210803T191306.000,[42.17731, 'N'],[83.78334, 'W'],0,6,[0.25, 0.28775, 0.463],2.07,234.4,1,1,126709
GPRMC,20210803T191306.000,[42.17731, 'N'],[83.78334, 'W'],0,6,[0.08, 0.09208, 0.14816],355.34,234.4,1,1,126834
GPGGA,20210803T191306.500,[42.17731, 'N'],[83.78334, 'W'],0,6,[0.08, 0.09208, 0.14816],355.34,234.4,1,1,127209
